item	itemLabel	birth_name	family_name	family_nameLabel	given_name	given_nameLabel
http://www.wikidata.org/entity/Q6709399	Lynne Neagle				http://www.wikidata.org/entity/Q19830569	Lynne
http://www.wikidata.org/entity/Q6768190	Mark Isherwood				http://www.wikidata.org/entity/Q13610143	Mark
http://www.wikidata.org/entity/Q6838058	Mick Bates		http://www.wikidata.org/entity/Q16479442	Bates	http://www.wikidata.org/entity/Q1931313	Mick
http://www.wikidata.org/entity/Q6838058	Mick Bates		http://www.wikidata.org/entity/Q16479442	Bates	http://www.wikidata.org/entity/Q1931313	Mick
http://www.wikidata.org/entity/Q6997045	Nerys Evans		http://www.wikidata.org/entity/Q1260663	Evans	http://www.wikidata.org/entity/Q23978758	Nerys
http://www.wikidata.org/entity/Q7026799	Nick Bourne				http://www.wikidata.org/entity/Q13137230	Nick
http://www.wikidata.org/entity/Q7027777	Nick Ramsay				http://www.wikidata.org/entity/Q13137230	Nick
http://www.wikidata.org/entity/Q7027777	Nick Ramsay				http://www.wikidata.org/entity/Q13137230	Nick
http://www.wikidata.org/entity/Q7150146	Paul Davies		http://www.wikidata.org/entity/Q1177810	Davies	http://www.wikidata.org/entity/Q4925623	Paul
http://www.wikidata.org/entity/Q7172838	Peter Black		http://www.wikidata.org/entity/Q2662465	Black	http://www.wikidata.org/entity/Q2793400	Peter
http://www.wikidata.org/entity/Q7321239	Rhodri Glyn Thomas		http://www.wikidata.org/entity/Q1413324	Thomas	http://www.wikidata.org/entity/Q20824652	Rhodri
http://www.wikidata.org/entity/Q7321239	Rhodri Glyn Thomas		http://www.wikidata.org/entity/Q1413324	Thomas	http://www.wikidata.org/entity/Q20824652	Rhodri
http://www.wikidata.org/entity/Q7368324	Rosemary Butler		http://www.wikidata.org/entity/Q2664624	Butler	http://www.wikidata.org/entity/Q1428410	Rosemary
http://www.wikidata.org/entity/Q7368324	Rosemary Butler		http://www.wikidata.org/entity/Q2664624	Butler	http://www.wikidata.org/entity/Q1428410	Rosemary
http://www.wikidata.org/entity/Q7381514	Russell George		http://www.wikidata.org/entity/Q1260558	George	http://www.wikidata.org/entity/Q14816494	Russell
http://www.wikidata.org/entity/Q7417378	Sandy Mewies				http://www.wikidata.org/entity/Q1413008	Sandy
http://www.wikidata.org/entity/Q7634083	Sue Essex				http://www.wikidata.org/entity/Q16281769	Sue
http://www.wikidata.org/entity/Q7681863	Tamsin Dunwoody		http://www.wikidata.org/entity/Q16869721	Dunwoody		
http://www.wikidata.org/entity/Q7843996	Trish Law				http://www.wikidata.org/entity/Q20898983	Trish
http://www.wikidata.org/entity/Q7843996	Trish Law				http://www.wikidata.org/entity/Q20898983	Trish
http://www.wikidata.org/entity/Q7909111	Val Lloyd		http://www.wikidata.org/entity/Q1287630	Lloyd	http://www.wikidata.org/entity/Q1068242	Valerie
http://www.wikidata.org/entity/Q7909111	Val Lloyd		http://www.wikidata.org/entity/Q1287630	Lloyd	http://www.wikidata.org/entity/Q1068242	Valerie
http://www.wikidata.org/entity/Q7922414	Veronica German				http://www.wikidata.org/entity/Q20020	Veronica
http://www.wikidata.org/entity/Q8010078	William Graham		http://www.wikidata.org/entity/Q2702454	Graham	http://www.wikidata.org/entity/Q12344159	William
http://www.wikidata.org/entity/Q8010078	William Graham		http://www.wikidata.org/entity/Q2702454	Graham	http://www.wikidata.org/entity/Q12344159	William
http://www.wikidata.org/entity/Q11001680	Helen Mary Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q13376892	Helen
http://www.wikidata.org/entity/Q11001680	Helen Mary Jones		http://www.wikidata.org/entity/Q59853	Jones	http://www.wikidata.org/entity/Q13376892	Helen
http://www.wikidata.org/entity/Q11162843	Jonathan Morgan				http://www.wikidata.org/entity/Q1158394	Jonathan
